text,label
this flash is a superb value.,1
The pictures were not sharp at all.,1
A very good resource for parents.,1
"We have it in a child's room, and will be switching it out soon.",0
Again the makers are too lazy to bring in the pensieve and do an entire scene.,0
This flash is a great value for the money.,1
"So I've had these speakers for three days now, bought them for my garage stereo system.",0
"they're cd's or tape's forget about the ""spice Girl's"" Cher's  music",0
"he proved that even with a dysfunctional family, hard-times, and near death expierences - you can still aim high and succeed.",1
"I realize these things can happen, so I truly am hoping they will replace it.",0
Emulate contortionists and like to do the same with their reading material and conspiracy theorists will probably love this book.,1
The best tracks in [[ASIN:,0
", so Amazon likes to use them.",0
but I'll be checking the tracks first.,0
Edit to add: These work very well with the original round Apple earbud.,1
I had the VHS and figured that it was time to get the DVD.,0
"Columbo is one of my favorite shows, and gets 5 stars.",1
any of his books would be a great read for young teenagers as well as adults.,1
The title has nothing to do with the lyrics.,1
It basically copied the Help manual.,1
This strap is just what I needed for lugging my D700 + battery pack +,1
"If you can get past that, however, the action is actually done quite well.",1
"Was somewhat disappointed, the center speaker sounded very tinny and also had slight distortion in the upper frequencies at very moderate listening levels that everybody noticed.",1
I thought this would arrive already otogether,0
You will not be disappointed with Season One,0
"Hello, This book is great.",1
"It screws into the front of any lens but the distortion is most noticeable under 40mm, over 40mm still gives you a very wide angle",1
The Flip is just fun fun fun.,1
I still do not know what the fancy functions are and how to use them.,0
I'm thinking of putting one on myself :),0
Mine came with two old witches and no short wizard.,1
"(I'm not implying he's not aware of them, merely that  he doesn't cite the influence.)I",0
Push the tile into the row that best makes a path for you to get to the item you need to collect.,0
I've had the pleasure of meeting him once here in Atlanta,0
"Precise colouring, lots colours lots of fun",1
Great price compared to the name brands,1
They fit nice and snug and cancelled (physically) any outside noise or interference.,1
Thank you Jane for offering an encouraging workout.,1
Beautiful CD - very sexy delivery by one of the great female vocalists of our time.,1
but we had no time to return and my friend try to be sensible and did not wanted me to return it even afterwards,0
"Produced in 1995, it was before the popular era of theater-wide big screen TVs.",0
"Then after many months of crumpling up his drawings, Ramon decides to quit drawing.",0
"The explanation of the different parts of the brain at work was useful in understanding the ""why's"" of certain behaviors you may see in your child.",1
"He wasn`t motivated by money,personal recognization, or any other self-serving factor as you see so much of today.",0
"Just bought it in CD format, still rocks after all these years!",1
Just what you would expect from the Little Tikes brand!,1
I've made several calls and didn't have to constantly repeat myself.,1
"Actually although I don't remember who now, one of the other band mates heard Ingle singing accompanied by the piano and that bandmate gave the song its title.",1
The really nice part is that each game is unique even though the cards and the gameplay are the same each time.,1
(which is why i bought them) with very little static.,1
"Manhattan is special, in that when you're there you cannot heal using the heart dice, you attack every player outside that district and you earn energy cube and star rewards for being there.",1
if you listen to his song changes he tells it like it is like it should be in this world.,1
fair value as got it on offer.,1
How do you explain to a 5 year old that he can't have the new one.,0
You see that silver ring on the product image between the black rubber and the rest of the earbud?,0
It is comfortable and can handle a dslr and heavy lens.,1
I bought this for my son since he liked mine and he loves it.,0
Seem to be very well made and nice quality.,1
It's something different.,0
This book is ALL about earning and saving $MONEY$.,1
"D.The distorted picture most Americans have of who has wealth and who doesn't is repainted by the strokes of genius Dr. Stanley and Dr. Danko put into their book, The Millionaire Next Door.",1
Great fun for a seven year old and his parents.,1
"Also, the author does a bad turn for the LGBTQIA+ community because her case for being g-y is that it's the ""safest choice"" (not biology), and the dad is g-y due to being m-lested (again, not biology).",1
Got these as a gift for my brother.,0
The battery life is sufficient where I only need to charge once every 2 days,1
"As the Amazon.com reviewer suggested, we've all been freed from the conventions of the novelistic form.",0
"As advertised, but the paper tears so easily (yes, I do realize that it's only paper!)",1
Each story that is going on is set in different fonts.,1
I bought this for the Nikon D700 camera and replaced the factory Nikon strap which is thinner and hurts the neck after long use.,1
In my opinion it is WAAAAAAY overpriced for what it is.,0
The $6 Panasonic's are a good choice too ($14 if you want a mic).,1
"Why Warners didn't  push the excellent ""All or Nothing"" eludes me!Despite the lack of  company push, this cd place 3",0
This very heavy tome could be dangerous in the right hands.,0
Every song on this CD is a keeper.,1
This book seems to be a few paragraphs-worth of information that is filled out with padding.,1
"I've given the album 4/5 stars because it's Chicago, but heed the above and, as they say, you makes your choice and pays your money.",1
Having read good and bad reviews - the bad were all about getting non-genuine batteries.,0
"Charges my girlfriend's camera battery wonderfully, she was very pleased with the speed of charge as well!",1
"Flipping through the pages, I started to get a little exasperated at all the typical po-mo gimmicks - pages you have to flip to read, pages with one letter on them, pages with little red boxes listing architectural details, pages of footnotes that don't exist.",1
"""I Get Around"" (2).Thug Life Volume One",0
"(The singer, not the writer, although I do like Edgar Allan.",0
Best ear buds I've ever had.,1
"But the more he transcribes Zampano's manuscript, the more it begins to destroy him as it evidently destroyed Zampano.",0
this isn't the model for you.,0
this prodect and Clearstream customer service was exceptional!,1
I was a massive Turtles fan.,0
"It is an outstanding compilation, well laid-out, easy to read.",1
"Also, the image quality of this Sigma is pretty good as well (a bit soft outside of center focus though).",1
"I give four because it manages both those aspects pretty well, although they inevitably conflict with each other throughout.",0
We've run it for six hours or so over the past few days and the batteries are still going strong.,1
"I was there, along with 1000 or so ""suits"".",0
"You can listen to `Moondance' every day just about anywhere, anytime",0
You can't go wrong with these headphones if you need a solid pair of kid-proof headphones!,1
"Ordered to replace existing speakers that have been outside for ten years,I hope they will last as well.",0
so some of the details are lost.,0
"Sur wish the planets rotated and the orbital paths were a little more real--this would have helped during the ""why are there seasons"" lesson",1
"Paul is NOT young anymore, and neither are some of his friend.",0
